name,facility_type,abbrev_location,location,latitude,longitude,date_opened,date_closed,location_descr,peak_population,date_peak,link,link2
Amache (Granada),Concentration Camp,"Amache, CO","Amache, Colorado",38.05,-102.3,8/27/1942,10/15/1945,"Located at 3,600 feet of elevation on a wind-swept prairie in southeastern Colorado 140 miles east of Pueblo, 16 miles east of Lamar, and 15 miles west of the Kansas border. The Arkansas River runs 2 1/2 miles north of the camp, but the 10,500 acres of land is arid when not irrigated. Vegetation includes wild grasses, sagebrush, and prickly pear cactus.",7318,2/1/1943,https://encyclopedia.densho.org/Amache%20(Granada),
Antelope Springs,Additional Facility,"Antelope Springs, UT","Antelope Springs, Utah",39.8333,-113.3,,,"Located in a sparse pinyon and juniper forest at an elevation of 7,400 feet at the base of the 9,669-foot Swasey Peak, part of the House Range in western Utah. The closest town is Delta.",,,https://encyclopedia.densho.org/Antelope%20Springs%20(detention%20facility),
Camp Algiers,Department of Justice Internment Camp,Camp Algiers,Camp Algiers,29.9231371,-90.0903978,,,"Located in Algiers, a section of New Orleans west of the Mississippi River.",,,https://encyclopedia.densho.org/Camp%20Algiers%20(detention%20facility),
Camp Blanding,U.S. Army Internment Camp,"Starke, FL","Starke, Florida",29.9333,-82.1,,,"U.S. Army Internment Camp located in Starke, Florida, southwest of Jacksonville, in northeast Florida.",,,https://encyclopedia.densho.org/Camp%20Blanding%20(detention%20facility),
Camp Forrest,U.S. Army Internment Camp,"Tullahoma, TN","Tullahoma, Tennessee",35.35,-86.2,,,"U.S. Army internment camp located in a wooded area of rural Tennessee, 70 miles south of Nashville.",190,5/1/1942,https://encyclopedia.densho.org/Camp%20Forrest%20(detention%20facility),
Camp Livingston,U.S. Army Internment Camp,"Alexandria, LA","Alexandria, Louisiana",31.3,-92.4333,6/8/1942,,"Located near Alexandria, Louisiana, north of Baton Rouge in the central part of the state. Hot and humid summer months with temperatures up to 130 degrees, poisonous reptiles, and stinging insects added to the hardship.",1123,3/12/1943,https://encyclopedia.densho.org/Camp%20Livingston%20(detention%20facility),
Camp McCoy,U.S. Army Internment Camp,"Camp McCoy, WI","Camp McCoy, Wisconsin",44.0167,-90.6833,3/1/1942,,"Located 9 miles west of Tomah and 92 miles northwest of Madison, Wisconsin.",293,3/1/1942,https://encyclopedia.densho.org/Camp%20McCoy%20(detention%20facility),
Camp Upton,U.S. Army Internment Camp,"Long Island, NY","Long Island, New York",40.86826553,-72.87920311,,,"Camp Upton held an undetermined number of Japanese internees during World War II in six-man tents surrounded by a double barbed-wire fence and guard towers. After a period two to three months, the internees were transferred to Fort George G. Meade in Maryland.",,,https://encyclopedia.densho.org/Camp%20Upton%20(detention%20facility),
Cow Creek,Additional Facility,"Cow Creek, CA","Cow Creek, California",36.5,-117,12/10/1942,2/15/1943,"Located in the desert of California near the Death Valley National Monument, one of the hottest places on Earth. Summer temperatures stay well over 100 degrees. Death Valley encompasses the lowest point in the Western Hemisphere at 282 feet below sea level and is the driest place in North America with an average rainfall of only 1.96 inches a year.",150,,https://encyclopedia.densho.org/Cow%20Creek%20(detention%20facility),
Crystal City,Department of Justice Internment Camp,"Crystal City, TX","Crystal City, Texas",28.6667,-99.8167,11/2/1942,1/1/1948,"Located in Zavala County in South Texas, 170 miles west of Corpus Christi. Semiarid grasslands with an average annual rainfall of about 21 inches. Summers are hot and humid, with temperatures exceeding 100 degrees.",4000,,https://encyclopedia.densho.org/Crystal%20City%20(detention%20facility),
East Boston,Immigration Detention Station,"East Boston, MA","East Boston, Massachusetts",42.3667,-71.0333,,,"Immigration and Naturalization Service (INS) detention station located in East Boston, Massachusetts.",,,https://encyclopedia.densho.org/East%20Boston%20(detention%20facility),
Ellis Island,Immigration Detention Station,"Ellise Island, NY","Ellise Island, New York",40.68333,-74.0333,12/1/1941,6/1/1944,"Immigration and Naturalization Service (INS) detention station located on Ellis Island, a mostly artificial island of 27 acres in Upper New York Bay.",608,12/1/1941,https://encyclopedia.densho.org/Ellis%20Island%20(detention%20facility),
Florence,U.S. Army Internment Camp,"Florence, AZ","Florence, Arizona",33.0167,-111.3833,,,"Located in Florence, Arizona. Florence is northeast of Casa Grande Ruins National Monument, between Phoenix and Tucson in southern Arizona. Hot desert area with extreme summer temperatures.",343,5/4/1942,https://encyclopedia.densho.org/Florence%20(detention%20facility),
